supplierCode,supplierName,supplierCurrency,billingAddress,creationDate
S00420,Q Dynamics Pty Ltd,AUD,"Level 3, 49-51 York Street, Sydney NSW 2000 Australia",25/02/2025
S00421,You're Connected Pro Plumbing,AUD,Australia,10/03/2025
S00422,Michael Heaton,AUD,NSW  Australia,11/03/2025
S00423,Steve James,AUD,NSW  Australia,11/03/2025
S00424,Chris Stevens,AUD,NSW  Australia,11/03/2025
S00425,Jennifer Chen,AUD,NSW  Australia,11/03/2025
S00426,Advtec,AUD,"PO BOX 138, Blackburn VIC  Australia",01/04/2025
S00427,Belinda Lo,AUD,Australia,11/04/2025
S00428,FedEx Express Australia Pty Ltd,AUD,Mascot ACT 2020 Australia,14/04/2025
S00429,Anthony Cuoco,AUD,NSW  Australia,04/06/2025
S00430,"iMedtac Co., Ltd.",USD,"Rm. 4, 10F., No.335, Ruiguang Rd., Neihu Dist., Taipei City  11492 Taiwan",16/06/2025
S00431,JDL Electrical Solutions Pty Ltd.,AUD,"5 Asaph Close, Hornsby Heights NSW 2077 Australia",16/06/2025
S00432,JEHE TECHNOLOGY (HONG KONG) LIMITED_Giada,USD,"Room 1911, Lee Garden One, 33 Hysan Avenue, Causeway Bay   Hong Kong",16/06/2025
S00433,"Magnificent-Flamingo Industrial Co., Ltd",USD,"No.9, Lane 67, Yingtao Road, Yingge District, New Taipei City  23942 Taiwan",04/07/2025
S00434,Neousys Technology Inc.,USD,"11F., No. 198, Jian 8th Rd., Zhonghe Dist. New Taipei City  235042 Taiwan",28/07/2025
S00435,Silicon Power,USD,"7F., No.106, Zhouzi St., Neihu District, Taipei City  114 Taiwan",28/07/2025
SEIN0,Seltech,USD,"2 Allee Des Cerisiers Fr-94042, Creteil   France",29/06/2020
SIEB0,Siebert Industrieelektronic,EUR,"Postfach 11 80, Eppelborn  D-66565 Germany",29/06/2020
SIKO0,Sin Ko Electronics,USD,"Rm 31,Fl4,Electronic World New Huaqiang Square, Shenzhen, Guangdong   China",29/06/2020
SMCP2,SMC Manufacturing Pty Ltd,AUD,"PO Box 581, Castle Hill NSW 1765 Australia",29/06/2020
SOAN2,Soanar Electus,AUD,"320 Victoria Road, Rydalmere NSW 2116 Australia",29/06/2020
STCT0,Shenzhen Taida Centry Technology Co,USD,"No.302 Q Building, Tea Expo Centre Yinli Street, Tianhe District, Guangzhou City   China",29/06/2020
SYEL2,Synergy Electronics Pty Ltd,AUD,"Unit 219, 14 Lexington Drive, Bella Vista NSW 2153 Australia",29/06/2020
SYST0,Woodward Controls Inc.,USD,"1081 Woodward Way, Fort Collins CO 80524 USA",29/06/2020
TATT0,Tattile Srl,EUR,"Via Gaetano Donizetti 1, 25030 Mairano It   Australia",29/06/2020
TCMA5,Total Commercial Maintenance Pl,AUD,"PO Box 31, Welland SA 5007 Australia",29/06/2020
TECO0,Tyco Electronics Singapore PTE LTD,USD,"#06-01 UE Square, Singapore   Switzerland",29/06/2020
TELE0,Telebyte Inc,USD,"355 Marcus Blvd, Hauppauge NY  11788 USA",29/06/2020
TIIN0,Trigg Industries International,USD,"SUITE B 716 BLUECRAB ROAD, NEWPORT NEWS VA 23606-2678 USA",29/06/2020
TLEE2,Tle Electrical,AUD,"50-52 Kenny Street, Wollongong NSW 2500 Australia",29/06/2020
TMSY0,Tri-M Technologies Inc,USD,"208 - 31510 Gill Avenue, Mission Bc  V4S 0A1 Canada",29/06/2020
TOCO2,Tokyo Components,AUD,"PO Box 6711, Baulkham Hills NSW 2153 Australia",29/06/2020
TRLO8,Traffic Logistics Pty Ltd,AUD,"PO Box 378, Corrimal NSW 2518 Australia",29/06/2020
TTAU0,Triangle Technologies (Aust),AUD,"PO Box 35813, Winnellie NT  Australia",29/06/2020
UNEL0,"Unixplore Electronics Co., Ltd",USD,"2F Of A2 Building Xiangdali Industrial Park, Henggang Town Longgang Shenzhen   Australia",29/06/2020
VERA0,Veraut Ges.M.B.H,EUR,"Derfflingerstr. 14/C/3, Linz  A-4020 Austria",29/06/2020
WAGR8,Warp Group Pty Ltd,AUD,"886 Bringelly Rd, Rossmore NSW 2557 Australia",29/06/2020
WASC8,WASCA,AUD,"34 Laser Drive, Rowville VIC 3178 Australia",29/06/2020
WATTI0,Wattics Ltd,EUR,"Unit 7 Guinness Enterprise Centre Taylor'S Lane, Dublin 8   Ireland",29/06/2020
XIFF0,Xiamen Four-Faith Communication Tech  Co,USD,"3rd Floor, No. 44 Guanri Road Software Park, Xiamen  361008 China",29/06/2020
XOVI0,Xovis Ag,USD,"Industriestrasse 1, Ch-3052 Zollikofen   Switzerland",29/06/2020
ZMIN0,Zoltrix Material International Ltd,USD,"18/F, Chung Nam Building No.1 Lockhart Road, Wanchai, Hong Kong   Hong Kong",29/06/2020
