soNumber,customerOrderNo,salesEmployee,customerCode,customerName,partCode,description,stockQty,outstandingQty,dueDate,outstandingValue(LC),outstandingValue(FC),outstandingQty,dueDate
407690,PO68844,Jennifer Chen,INTE4U,Intellidesign,AS0423,AL.LEC-BTS2-2G-ER,0,28,01/08/25,11990.14,7784,28,01/08/25
407690,PO68844,Jennifer Chen,INTE4U,Intellidesign,AS0339,AL.LEC-BTS-HS,8,30,01/08/25,1432.53,930,30,01/08/25
407690,PO68844,Jennifer Chen,INTE4U,Intellidesign,AS09001,AT.Foxcon SMARC/MXM 314 pos.,63,28,01/08/25,862.6,560,28,01/08/25
407690,PO68844,Jennifer Chen,INTE4U,Intellidesign,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,01/08/25,46.21,30,1,01/08/25
407656,243032,Karen Riddell,DPSE4,Diesel Parts & Service P/L,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,10/07/25,30,0,1,10/07/25
407609,5445581,Jennifer Chen,PWLM6,PathWest Laboratory Medicine WA,AMD2246P,OY.VENUS-224-P35-H2-1603 (For PathWest),0,10,02/06/25,32450,0,10,02/06/25
407609,5445581,Jennifer Chen,PWLM6,PathWest Laboratory Medicine WA,AMD10933,OY.OPM-P03T-03 (XXL),461,12,02/06/25,7344,0,12,02/06/25
407609,5445581,Jennifer Chen,PWLM6,PathWest Laboratory Medicine WA,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,02/06/25,400,0,1,02/06/25
407402,4501883095,Jennifer Chen,UGLR2,UGL Rail Services,R742420VM-CLY,ST.74V-24V NON-ISOLATED DC-DC,22,1,21/08/25,553,0,1,21/08/25
407460,40096731,Karen Riddell,PPAE0,Pan Pacific Auto Electrics Ltd,AXSP040,SO.SA-4759,0,1,19/04/25,315,0,1,19/04/25
407645,40098307,Karen Riddell,PPAE0,Pan Pacific Auto Electrics Ltd,AXSP040,SO.SA-4759,0,3,11/06/25,315,0,3,11/06/25
407816,P1093621,Jennifer Chen,FUGR6,Fugro Australia Pty Ltd,AS3462,DS.6980604,0,2,25/07/25,50,0,2,25/07/25
407656,243032,Karen Riddell,DPSE4,Diesel Parts & Service P/L,AXS20630,SO.2003-12S7U1B2A  (SA-4752-12),0,1,10/07/25,260,0,1,10/07/25
407609,5445581,Jennifer Chen,PWLM6,PathWest Laboratory Medicine WA,AMD2000,OY.UP-L62-A1-1010,11,4,02/06/25,2752,0,4,02/06/25
406971,131625,Karen Riddell,TCME5,TCM Electronics,APS1020,AG.EA-3030 Clear Silicone EA/EK Tube,0,10,03/12/24,220,0,10,03/12/24
407816,P1093621,Jennifer Chen,FUGR6,Fugro Australia Pty Ltd,AS3461,DS.6980512,0,2,25/07/25,36,0,2,25/07/25
407816,P1093621,Jennifer Chen,FUGR6,Fugro Australia Pty Ltd,AS00782,DS.6980524,0,2,25/07/25,36,0,2,25/07/25
407816,P1093621,Jennifer Chen,FUGR6,Fugro Australia Pty Ltd,AS3013,DS.GEM-1185GRE-32G,0,2,25/07/25,9790,0,2,25/07/25
407769,40099284,Karen Riddell,PPAE0,Pan Pacific Auto Electrics Ltd,AXS20630,SO.2003-12S7U1B2A  (SA-4752-12),0,1,14/07/25,240,0,1,14/07/25
407816,P1093621,Jennifer Chen,FUGR6,Fugro Australia Pty Ltd,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,25/07/25,60,0,1,25/07/25
402792,PO-05513,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,2500,01/08/25,9177.68,6250,2500,01/08/25
402792,PO-05513,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,2500,01/08/25,9177.68,6250,2500,01/08/25
402792,PO-05513,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,2500,01/09/25,9177.68,6250,2500,01/09/25
402792,PO-05513,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,2500,01/09/25,9177.68,6250,2500,01/09/25
407395,232134,Jennifer Chen,BMDE0U,Blackmagic Design Manufacturing Pte Ltd,AV6000,GV.BMD-6CD01-TE3Z,7500,2500,08/08/25,6811.34,4300,2500,08/08/25
407525,234867,Jennifer Chen,BMDE0U,Blackmagic Design Manufacturing Pte Ltd,AVC1015,CC.C-SX-113GN,6500,4500,29/08/25,12203.63,7875,4500,29/08/25
407527,321530,Jennifer Chen,DEBE4U,Debetrek,AMD10922,OY.OPM-P02T-03 (XL),422,73,07/05/25,31675.19,20440,73,07/05/25
407527,321530,Jennifer Chen,DEBE4U,Debetrek,AMD2257,OY.VENUS-224-G35-S1-1602,0,68,07/05/25,215812.8,139264,68,07/05/25
407527,321530,Jennifer Chen,DEBE4U,Debetrek,AMD101S,OY.OPT-ESL1,0,73,07/05/25,15837.59,10220,73,07/05/25
407527,321530,Jennifer Chen,DEBE4U,Debetrek,AMD2000,OY.UP-L62-A1-1010,11,31,07/05/25,14892.3,9610,31,07/05/25
407527,321530,Jennifer Chen,DEBE4U,Debetrek,AMD2258,OY.VENUS-244-G35-S2-1602,0,5,07/05/25,16178.52,10440,5,07/05/25
407527,321530,Jennifer Chen,DEBE4U,Debetrek,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,07/05/25,588.87,380,1,07/05/25
406133,PO-06419,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172988,GV.GS3241-INTE3Z,10000,2500,01/10/25,27299.5,18075,2500,01/10/25
406363,PO-06480,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172988,GV.GS3241-INTE3Z,10000,2500,01/10/25,27213.19,18075,2500,01/10/25
406363,PO-06480,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,2500,01/09/25,12044.56,8000,2500,01/09/25
407505,234552,Jennifer Chen,BMDE0U,Blackmagic Design Manufacturing Pte Ltd,AV6000,GV.BMD-6CD01-TE3Z,7500,2500,15/09/25,6702,4300,2500,15/09/25
407479,233588,Jennifer Chen,BMDE0U,Blackmagic Design Manufacturing Pte Ltd,AV6000,GV.BMD-6CD01-TE3Z,7500,2500,19/08/25,6768.46,4300,2500,19/08/25
407570,235779,Jennifer Chen,BMDE0U,Blackmagic Design Manufacturing Pte Ltd,AVC1015,CC.C-SX-113GN,6500,4500,02/09/25,12300.84,7875,4500,02/09/25
407649,237365,Jennifer Chen,BMDE0U,Blackmagic Design Manufacturing Pte Ltd,AVC1015,CC.C-SX-113GN,6500,4000,08/10/25,10760.95,7000,4000,08/10/25
407650,237411,Jennifer Chen,BMDE0U,Blackmagic Design Manufacturing Pte Ltd,AVC1015,CC.C-SX-113GN,6500,4000,14/08/25,10760.95,7000,4000,14/08/25
407653,237493,Jennifer Chen,BMDE0U,Blackmagic Design Manufacturing Pte Ltd,AVC1015,CC.C-SX-113GN,6500,4000,13/10/25,10739.49,7000,4000,13/10/25
407611,321598,Jennifer Chen,DEBE4U,Debetrek,AMD10922,OY.OPM-P02T-03 (XL),422,14,15/09/25,6090.74,3920,14,15/09/25
407611,321598,Jennifer Chen,DEBE4U,Debetrek,AMD2000,OY.UP-L62-A1-1010,11,11,15/09/25,5298.32,3410,11,15/09/25
407611,321598,Jennifer Chen,DEBE4U,Debetrek,AMD101S,OY.OPT-ESL1,0,28,15/09/25,6090.74,3920,28,15/09/25
407611,321598,Jennifer Chen,DEBE4U,Debetrek,AMD2257,OY.VENUS-224-G35-S1-1602,0,28,15/09/25,89098.82,57344,28,15/09/25
407611,321598,Jennifer Chen,DEBE4U,Debetrek,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,15/09/25,279.68,180,1,15/09/25
407110,PO-06594,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,2500,01/09/25,13044.19,8000,2500,01/09/25
407110,PO-06594,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,2500,03/11/25,13044.19,8000,2500,03/11/25
407727,PC039675,Jennifer Chen,OPNC0,OFFICE PLUS,AMD10922,OY.OPM-P02T-03 (XL),422,20,18/09/25,9007.63,5900,20,18/09/25
407727,PC039675,Jennifer Chen,OPNC0,OFFICE PLUS,AMD2253,OY.VENUS-224-G35-C8-0802,2,2,18/09/25,5847.33,3830,2,18/09/25
407727,PC039675,Jennifer Chen,OPNC0,OFFICE PLUS,AMD2257,OY.VENUS-224-G35-S1-1602,0,8,18/09/25,23731.3,15544,8,18/09/25
407804,PO-06848,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV12341-INTE3Z,GV.GS12341-INTE3Z ( 12G UHD-SDI Reclocking adap cable eq),0,5000,01/10/25,75145.84,48950,5000,01/10/25
407735,321618,Jennifer Chen,DEBE4U,Debetrek,AMD10922,OY.OPM-P02T-03 (XL),422,11,29/09/25,4681.56,3080,11,29/09/25
407735,321618,Jennifer Chen,DEBE4U,Debetrek,AMD2000,OY.UP-L62-A1-1010,11,3,29/09/25,1413.59,930,3,29/09/25
407735,321618,Jennifer Chen,DEBE4U,Debetrek,AMD101S,OY.OPT-ESL1,0,10,29/09/25,2127.98,1400,10,29/09/25
407735,321618,Jennifer Chen,DEBE4U,Debetrek,AMD2257,OY.VENUS-224-G35-S1-1602,0,10,29/09/25,31129.35,20480,10,29/09/25
407735,321618,Jennifer Chen,DEBE4U,Debetrek,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,29/09/25,144.4,95,1,29/09/25
407696,238262,Jennifer Chen,BMDE0U,Blackmagic Design Manufacturing Pte Ltd,AV6000,GV.BMD-6CD01-TE3Z,7500,2500,31/10/25,6623.54,4300,2500,31/10/25
407699,321684,Jennifer Chen,DEBE4U,Debetrek,AMD2012B,OY.125530120B,6,1,08/08/25,132.56,85,1,08/08/25
407699,321684,Jennifer Chen,DEBE4U,Debetrek,AMD2258,OY.VENUS-244-G35-S2-1602,0,1,08/08/25,3256.39,2088,1,08/08/25
407699,321684,Jennifer Chen,DEBE4U,Debetrek,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,08/08/25,93.57,60,1,08/08/25
407110,PO-06594,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,2500,03/11/25,13044.19,8000,2500,03/11/25
407110,PO-06594,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,5000,03/11/25,26088.37,16000,5000,03/11/25
407110,PO-06594,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,10000,12/01/26,52176.75,32000,10000,12/01/26
407504,PO055503-3,Jennifer Chen,TNAA2U,TNA AUSTRALIA MANUFACTURING PTY LTD,AS33516,DS.9110293 Semicustom PC104 Ser,25,50,28/07/25,16832.92,10800,50,28/07/25
407504,PO055503-3,Jennifer Chen,TNAA2U,TNA AUSTRALIA MANUFACTURING PTY LTD,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,28/07/25,54.55,35,1,28/07/25
407804,PO-06848,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV12341-INTE3Z,GV.GS12341-INTE3Z ( 12G UHD-SDI Reclocking adap cable eq),0,5000,12/01/26,75145.84,48950,5000,12/01/26
407029,945518,Karen Riddell,BUMU2,Bucher Municipal,AXS151321,SO.1504-24C3U1B1S2A,0,20,25/08/25,5136,0,20,25/08/25
407029,945518,Karen Riddell,BUMU2,Bucher Municipal,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,25/08/25,30,0,1,25/08/25
407029,945518,Karen Riddell,BUMU2,Bucher Municipal,AXS151321,SO.1504-24C3U1B1S2A,0,20,29/08/25,5136,0,20,29/08/25
407029,945518,Karen Riddell,BUMU2,Bucher Municipal,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,29/08/25,30,0,1,29/08/25
407029,945518,Karen Riddell,BUMU2,Bucher Municipal,AXS151321,SO.1504-24C3U1B1S2A,0,20,30/09/25,5136,0,20,30/09/25
407029,945518,Karen Riddell,BUMU2,Bucher Municipal,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,30/09/25,30,0,1,30/09/25
407029,945518,Karen Riddell,BUMU2,Bucher Municipal,AXS151321,SO.1504-24C3U1B1S2A,0,20,31/10/25,5136,0,20,31/10/25
407029,945518,Karen Riddell,BUMU2,Bucher Municipal,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,31/10/25,30,0,1,31/10/25
407029,945518,Karen Riddell,BUMU2,Bucher Municipal,AXS151321,SO.1504-24C3U1B1S2A,0,20,28/11/25,5136,0,20,28/11/25
407029,945518,Karen Riddell,BUMU2,Bucher Municipal,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,28/11/25,30,0,1,28/11/25
407029,945518,Karen Riddell,BUMU2,Bucher Municipal,AXS151321,SO.1504-24C3U1B1S2A,0,20,19/12/25,5136,0,20,19/12/25
407029,945518,Karen Riddell,BUMU2,Bucher Municipal,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,19/12/25,30,0,1,19/12/25
407110,PO-06594,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,2500,03/11/25,13044.19,8000,2500,03/11/25
407743,PO05772,Jennifer Chen,SEDY3,Sensor Dynamics,AS07141,AL.TPC-41040-0670,0,11,28/08/25,11550,0,11,28/08/25
407743,PO05772,Jennifer Chen,SEDY3,Sensor Dynamics,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,28/08/25,90,0,1,28/08/25
407110,PO-06594,Jennifer Chen,REVI0,Redbyte Design Pty Ltd,AV172985,GV.GS2994-INTE3Z,10000,5000,01/12/25,26088.37,16000,5000,01/12/25
407813,PO-206275,Jennifer Chen,PRMA21,Progress Rail Australia P/L,RCLS0012,ST.DC DC CONVERTER,15,1,20/10/25,440,0,1,20/10/25
407813,PO-206275,Jennifer Chen,PRMA21,Progress Rail Australia P/L,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,20/10/25,30,0,1,20/10/25
407821,263302,Karen Riddell,SCHAU6,Schramm Australia,ATV1530-120,FP.A1530-120,3,6,01/09/25,2580,0,6,01/09/25
407821,263302,Karen Riddell,SCHAU6,Schramm Australia,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,01/09/25,65,0,1,01/09/25
407737,PO-205250,Jennifer Chen,PRMA21,Progress Rail Australia P/L,R742420VM-CLY,ST.74V-24V NON-ISOLATED DC-DC,22,2,28/10/25,996,0,2,28/10/25
407824,1019659,Jennifer Chen,BRDRE2,Bradken Resources Pty Ltd,AS7501,NT.NRU-230V-AWP-059,0,1,29/07/25,8037,0,1,29/07/25
